YYY,YYYY,MM,YYYYMM,REGION_CH,REGION,RESIDENCE_CH,RESIDENCE,AGEGROUP,GENDER,COUNT
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,1-12Years,Female,211
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,1-12Years,Male,233
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,13-19Years,Female,53
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,13-19Years,Male,65
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,20-29Years,Female,333
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,20-29Years,Male,271
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,30-39Years,Female,327
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,30-39Years,Male,494
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,40-49Years,Female,471
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,40-49Years,Male,950
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,50-59Years,Female,342
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,50-59Years,Male,801
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,60Years and Over,Female,303
111,2022,01,202201,亞洲地區,Asia,中國大陸,China,60Years and Over,Male,497
111,2022,01,202201,亞洲地區,Asia,其他,Other,1-12Years,Female,63
111,2022,01,202201,亞洲地區,Asia,其他,Other,1-12Years,Male,57
111,2022,01,202201,亞洲地區,Asia,其他,Other,13-19Years,Female,42
111,2022,01,202201,亞洲地區,Asia,其他,Other,13-19Years,Male,37
111,2022,01,202201,亞洲地區,Asia,其他,Other,20-29Years,Female,372
111,2022,01,202201,亞洲地區,Asia,其他,Other,20-29Years,Male,368
111,2022,01,202201,亞洲地區,Asia,其他,Other,30-39Years,Female,293
111,2022,01,202201,亞洲地區,Asia,其他,Other,30-39Years,Male,317
111,2022,01,202201,亞洲地區,Asia,其他,Other,40-49Years,Female,194
111,2022,01,202201,亞洲地區,Asia,其他,Other,40-49Years,Male,188
111,2022,01,202201,亞洲地區,Asia,其他,Other,50-59Years,Female,131
111,2022,01,202201,亞洲地區,Asia,其他,Other,50-59Years,Male,167
111,2022,01,202201,亞洲地區,Asia,其他,Other,60Years and Over,Female,93
111,2022,01,202201,亞洲地區,Asia,其他,Other,60Years and Over,Male,124
111,2022,01,202201,亞洲地區,Asia,新加坡,Singapore,1-12Years,Female,77
111,2022,01,202201,亞洲地區,Asia,新加坡,Singapore,1-12Years,Male,90
111,2022,01,202201,亞洲地區,Asia,新加坡,Singapore,13-19Years,Female,89
