"","","","1-12歲","","13-19歲","","20-29歲","","30-39歲","","40-49歲","","50-59歲","","60歲以上","",""
"","","","1-12Years","","13-19Years","","20-29Years","","30-39Years","","40-49Years","","50-59Years","","60Years and Over","",""
"年別","月份","居住地","男","女","男","女","男","女","男","女","男","女","男","女","男","女","小計"
"Years","Months","Residence","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Male","Female","Total"
"111","1","亞洲地區(Asia)","644","614","248","248","1254","1536","1682","1726","1882","1515","1537","949","1129","782","15746"
"111","1","日本(Japan)","67","68","24","16","119","153","169","242","94","109","66","88","79","84","1378"
"111","1","韓國(Korea)","18","21","13","9","70","114","63","83","48","52","44","37","56","38","666"
"111","1","香港(Hong Kong)","32","26","11","6","68","80","82","101","82","90","66","74","72","82","872"
"111","1","中國大陸(China)","233","211","65","53","271","333","494","327","950","471","801","342","497","303","5351"
"111","1","澳門(Macao)","6","6","2","0","2","6","11","18","13","15","13","11","23","12","138"
"111","1","越南(Vietnam)","87","86","9","16","52","51","195","243","230","262","150","55","106","18","1560"
"111","1","泰國(Thailand)","31","29","6","11","55","80","101","125","83","87","78","68","50","55","859"
"111","1","馬來西亞(Malaysia)","13","24","7","5","13","14","27","23","22","22","28","24","21","14","257"
"111","1","新加坡(Singapore)","90","77","72","89","217","317","169","243","140","197","97","111","80","78","1977"
"111","1","菲律賓(Philippines)","10","3","2","1","19","16","54","28","32","16","27","8","21","5","242"
"111","1","非洲地區(Africa)","0","0","2","0","0","0","1","0","1","0","0","0","1","1","6"
"111","1","埃及(Egypt)","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"111","1","美洲地區(Americas)","139","152","168","169","1016","1043","795","881","536","595","555","729","975","997","8750"
"111","1","美國(USA)","132","142","152","152","973","969","757","836","503","551","511","663","865","883","8089"
"111","1","加拿大(Canada)","5","10","16","17","42","72","36","44","31","42","44","66","106","112","643"
"111","1","大洋洲地區(Oceania)","28","22","28","16","85","103","39","43","32","43","29","48","61","64","641"
"111","1","澳洲(Australia)","18","17","26","15","81","99","29","35","20","24","24","42","48","51","529"
"111","1","紐西蘭(New Zealand)","9","3","2","1","2","2","6","3","3","11","0","6","12","13","73"
"111","1","歐洲地區(Europe)","15","18","15","20","99","174","49","76","39","55","31","50","13","23","677"
"111","1","比利時(Belgium)","0","0","0","0","1","1","1","0","0","1","0","0","0","0","4"
"111","1","法國(France)","6","5","2","1","12","33","16","23","17","14","9","16","5","7","166"
"111","1","德國(Germany)","5","4","4","4","20","44","17","21","8","17","13","14","5","6","182"
"111","1","義大利(Italy)","0","0","0","0","0","5","0","0","0","1","0","2","0","1","9"
"111","1","荷蘭(Netherlands)","1","4","0","3","15","20","1","10","5","4","2","3","0","4","72"
"111","1","英國(U.K.)","2","4","9","10","42","63","12","17","7","15","7","11","2","4","205"
